id_time,time,nome_canonico,apelido,tla,escudo_url,endereco,site,fundado,estadio,cor_primaria,cor_secundaria,cor_terciaria,hex1,hex2,hex3,cores_raw,pais,pais_codigo,pais_bandeira_url,tecnico,tecnico_nacionalidade,contrato_inicio,contrato_fim,competicoes_codigos,competicoes_nomes,last_updated
1766,CA Mineiro,Atlético Mineiro,Mineiro,CAM,https://crests.football-data.org/1766.png,"Av. Olegário Maciel 1516, Lourdes Belo Horizonte, MG 30180-111",http://www.atletico.com.br,1908,Estádio Raimundo Sampaio,Black,White,,#000000,#FFFFFF,,Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Cuca,Brazil,2025-01,2026-12,BSA; CS; CDB,Campeonato Brasileiro Série A; Copa Sudamericana; Copa do Brasil,2022-12-28T10:32:33Z
1777,EC Bahia,Bahia,Bahia,BAH,https://crests.football-data.org/1777.png,"Rua Antônio Fernandes S/N, Jardim das Margaridas Salvador, BA 41502-590",http://www.esporteclubebahia.com.br,1931,Estádio Governador Roberto Santos,Blue,White,Red,#006CB5,#FFFFFF,#ED3237,Blue / White / Red,Brazil,BRA,https://crests.football-data.org/764.svg,Rogério Ceni,Brazil,2023-09,2025-12,CLI; BSA; CS,Copa Libertadores; Campeonato Brasileiro Série A; Copa Sudamericana,2024-10-28T10:09:10Z
1770,Botafogo FR,Botafogo,Botafogo,BOT,https://crests.football-data.org/1770.png,"Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140",http://www.botafogo.com.br,1904,Estádio Nilton Santos,Black,White,,#000000,#FFFFFF,,Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Davide Ancelotti,Italy,2025-07,2026-12,CLI; BSA,Copa Libertadores; Campeonato Brasileiro Série A,2023-02-18T08:43:47Z
1837,Ceará SC,Ceará,Ceará,CSC,https://crests.football-data.org/1837.png,"Av. João Pessoa 3532, Porangabuçu Fortaleza, CE 60425-680",http://www.cearasc.com,1914,Estádio Castelão,Black,White,,#000000,#FFFFFF,,Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Leo Condé,Brazil,2024-07,2025-12,BSA; CDB,Campeonato Brasileiro Série A; Copa do Brasil,2023-02-18T08:33:26Z
1779,SC Corinthians Paulista,Corinthians,Corinthians,COR,https://crests.football-data.org/1779.png,"Rua São Jorge 777, Tatuapé São Paulo, SP 03087-000",http://www.corinthians.com.br,1910,Neo Química Arena,Black,White,,#000000,#FFFFFF,,Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Dorival Júnior,Brazil,2025-04,2026-12,CLI; BSA; CS,Copa Libertadores; Campeonato Brasileiro Série A; Copa Sudamericana,2024-07-29T17:24:47Z
1771,Cruzeiro EC,Cruzeiro,Cruzeiro,CRU,https://crests.football-data.org/1771.png,"Rua Timbiras 2903, Bairro Preto Belo Horizonte, MG 30140-062",http://www.cruzeiro.com.br,1921,Estádio Governador Magalhães Pinto,Blue,White,,#2F529E,#FFFFFF,,Blue / White,Brazil,BRA,https://crests.football-data.org/764.svg,Leonardo Jardim,Portugal,2025-02,2025-12,BSA; CS,Campeonato Brasileiro Série A; Copa Sudamericana,2022-04-10T11:03:46Z
1783,CR Flamengo,Flamengo,Flamengo,FLA,https://crests.football-data.org/1783.png,"null Rio de Janeiro, RJ null",https://www.flamengo.com.br/pagina-inicial-basquete,1919,Estadio Jornalista Mário Filho,Red,Black,White,#C52613,#000000,#FFFFFF,Red / Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Filipe Luis,Brazil,2024-09,2025-12,CLI; BSA,Copa Libertadores; Campeonato Brasileiro Série A,2022-04-06T13:13:43Z
1765,Fluminense FC,Fluminense,Fluminense,FLU,https://crests.football-data.org/1765.png,"Rua Álvaro Chaves 41, Bairro Laranjeiras Rio de Janeiro, RJ 22231-220",http://www.fluminense.com.br,1902,Estadio Jornalista Mário Filho,Maroon,Green,White,#870A28,#00613C,#FFFFFF,Maroon / Green / White,Brazil,BRA,https://crests.football-data.org/764.svg,Renato Gaúcho,Brazil,2025-04,2025-12,BSA; CS; CDB,Campeonato Brasileiro Série A; Copa Sudamericana; Copa do Brasil,2024-07-29T17:24:37Z
3984,Fortaleza EC,Fortaleza,Fortaleza,FEC,https://crests.football-data.org/3984.png,"Avenida Senador Fernandes Távora 200, Pici Fortaleza, CE 60510-290",http://www.fortalezaec.net,1918,Estádio Castelão,Red,Blue,White,#ED3237,#006CB5,#FFFFFF,Red / Blue / White,Brazil,BRA,https://crests.football-data.org/764.svg,Renato Paiva,Portugal,2025-07,2026-12,CLI; BSA,Copa Libertadores; Campeonato Brasileiro Série A,2022-04-06T13:16:50Z
1767,Grêmio FBPA,Grêmio,Grêmio,FBP,https://crests.football-data.org/1767.png,"Avenida Padre Leopoldo Bretano, 110, Humaitá Porto Alegre, RS 90250-590",http://www.gremio.net,1903,Arena do Grêmio,Blue,Black,White,#0D80BF,#000000,#FFFFFF,Blue / Black / White,Brazil,BRA,https://crests.football-data.org/764.svg,Mano Menezes,Brazil,2025-04,2025-12,BSA; CS; CDB,Campeonato Brasileiro Série A; Copa Sudamericana; Copa do Brasil,2023-02-18T08:42:52Z
