team_id,team_name,matches,btts_rate,over15_rate,over25_rate,over35_rate,home_btts_rate,home_over25_rate,away_btts_rate,away_over25_rate
1783,CR Flamengo,20,0.6,0.85,0.55,0.3,0.636,0.545,0.556,0.556
4245,EC Juventude,20,0.55,0.85,0.55,0.25,0.545,0.545,0.556,0.556
6685,Santos FC,20,0.55,0.85,0.55,0.25,0.556,0.667,0.545,0.455
1767,Grêmio FBPA,20,0.5,0.7,0.55,0.3,0.5,0.5,0.5,0.6
1778,SC Recife,19,0.474,0.789,0.526,0.263,0.333,0.556,0.6,0.5
1769,SE Palmeiras,19,0.421,0.789,0.526,0.158,0.4,0.5,0.444,0.556
1782,EC Vitória,21,0.571,0.762,0.524,0.381,0.6,0.6,0.545,0.455
1771,Cruzeiro EC,21,0.571,0.714,0.476,0.238,0.455,0.364,0.7,0.6
4286,RB Bragantino,21,0.476,0.857,0.476,0.381,0.364,0.273,0.6,0.7
1776,São Paulo FC,21,0.429,0.571,0.429,0.143,0.182,0.182,0.7,0.7
1779,SC Corinthians Paulista,21,0.429,0.667,0.429,0.19,0.4,0.4,0.455,0.455
1766,CA Mineiro,19,0.368,0.632,0.421,0.053,0.375,0.375,0.364,0.455
4364,Mirassol FC,19,0.368,0.684,0.421,0.263,0.333,0.333,0.4,0.5
6684,SC Internacional,20,0.65,0.8,0.4,0.15,0.7,0.4,0.6,0.4
1837,Ceará SC,20,0.6,0.75,0.4,0.2,0.8,0.5,0.4,0.3
3984,Fortaleza EC,20,0.45,0.65,0.4,0.15,0.364,0.273,0.556,0.556
1777,EC Bahia,19,0.579,0.684,0.368,0.158,0.5,0.3,0.667,0.444
1765,Fluminense FC,19,0.368,0.579,0.368,0.158,0.444,0.444,0.3,0.3
1780,CR Vasco da Gama,20,0.35,0.5,0.35,0.2,0.4,0.4,0.3,0.3
1770,Botafogo FR,19,0.316,0.579,0.316,0.105,0.222,0.222,0.4,0.4
