coleta_ts_brt,id_time,time,prob_campeao_pct,prob_libertadores_pct,prob_sulamericana_pct,prob_rebaixamento_pct
2025-09-10 02:19:54,1766,ATLÉTICO,0.01,6.0,50.4,11.4
2025-09-10 02:19:54,1777,BAHIA,3.1,78.1,21.4,0.01
2025-09-10 02:19:54,1770,BOTAFOGO,1.8,67.2,31.5,0.041
2025-09-10 02:19:54,4286,BRAGANTINO,0.024,10.7,62.1,4.4
2025-09-10 02:19:54,1837,CEARÁ,0.004,4.5,48.0,11.9
2025-09-10 02:19:54,1779,CORINTHIANS,0.001,3.0,45.6,12.8
2025-09-10 02:19:54,1771,CRUZEIRO,16.0,97.4,2.6,0.0
2025-09-10 02:19:54,1783,FLAMENGO,47.6,99.67,0.33,0.0
2025-09-10 02:19:54,1765,FLUMINENSE,0.069,16.3,62.3,3.1
2025-09-10 02:19:54,3984,FORTALEZA,0.0,0.016,2.4,85.4
2025-09-10 02:19:54,1767,GRÊMIO,0.003,4.1,47.3,12.3
2025-09-10 02:19:54,6684,INTERNACIONAL,0.007,6.9,54.3,8.4
2025-09-10 02:19:54,4245,JUVENTUDE,0.0,0.61,18.7,43.6
2025-09-10 02:19:54,4364,MIRASSOL,2.1,74.4,25.0,0.013
2025-09-10 02:19:54,1769,PALMEIRAS,29.0,98.3,1.7,0.0
2025-09-10 02:19:54,6685,SANTOS,0.0,1.1,24.9,34.4
2025-09-10 02:19:54,1778,SPORT,0.0,0.001,0.53,95.4
2025-09-10 02:19:54,1776,SÃO PAULO,0.17,30.6,60.9,0.65
2025-09-10 02:19:54,1780,VASCO DA GAMA,0.0,0.87,22.4,36.0
2025-09-10 02:19:54,1782,VITÓRIA,0.0,0.37,17.8,40.3
